iter	LL	phyloLL	MRFLL	priorLL	fracNeighboursSame	alpha	beta	sigma	tau
100.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.47878787878787876	0.0	0.0	1.0	0.0
200.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5166666666666667	0.0	0.0	1.0086569391766993	0.0
300.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5227272727272727	0.0	0.0	0.9891214233870551	0.0
400.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5015151515151515	0.0	0.0	1.014975258393574	0.0
500.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.48787878787878786	0.0	0.0	0.9942114336153494	0.0
600.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5	0.0	0.0	1.000018164330409	0.0
700.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5272727272727272	0.0	0.0	0.996075987217416	0.0
800.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4727272727272727	0.0	0.0	0.9959858504165994	0.0
900.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4909090909090909	0.0	0.0	0.9959858504165994	0.0
1000.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5378787878787878	0.0	0.0	1.0035440475227986	0.0
1100.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.44242424242424244	0.0	0.0	1.001719090328654	0.0
1200.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4984848484848485	0.0	0.0	0.9853876705328996	0.0
1300.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5181818181818182	0.0	0.0	0.9974339186732173	0.0
1400.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4712121212121212	0.0	0.0	1.0024296540040651	0.0
1500.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4166666666666667	0.0	0.0	1.0248065076607429	0.0
1600.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4696969696969697	0.0	0.0	1.0126917341255506	0.0
1700.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5075757575757576	0.0	0.0	1.0332467431251864	0.0
1800.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4893939393939394	0.0	0.0	1.0348737784429023	0.0
1900.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.47424242424242424	0.0	0.0	1.0463109386705882	0.0
2000.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.48333333333333334	0.0	0.0	1.0585606308889637	0.0
2100.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.503030303030303	0.0	0.0	1.051582338447595	0.0
2200.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5287878787878788	0.0	0.0	1.0637633689709354	0.0
2300.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5409090909090909	0.0	0.0	1.0637633689709354	0.0
2400.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4984848484848485	0.0	0.0	1.0601584804320012	0.0
2500.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.49242424242424243	0.0	0.0	1.0581561813545965	0.0
2600.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.49242424242424243	0.0	0.0	1.0515209329451076	0.0
2700.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5106060606060606	0.0	0.0	1.0400849181038199	0.0
2800.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4863636363636364	0.0	0.0	1.0198374985868792	0.0
2900.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4590909090909091	0.0	0.0	1.0267433122843712	0.0
3000.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4954545454545455	0.0	0.0	1.039658932605271	0.0
3100.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.49696969696969695	0.0	0.0	1.0280588574421794	0.0
3200.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4954545454545455	0.0	0.0	1.0271275601916818	0.0
3300.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4803030303030303	0.0	0.0	1.0472785228512382	0.0
3400.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.43787878787878787	0.0	0.0	1.0472785228512382	0.0
3500.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4727272727272727	0.0	0.0	1.0368198536532998	0.0
3600.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5318181818181819	0.0	0.0	1.0240729292830737	0.0
3700.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5196969696969697	0.0	0.0	1.0240636542269148	0.0
3800.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5303030303030303	0.0	0.0	1.015914438104222	0.0
3900.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.546969696969697	0.0	0.0	1.0084859745000592	0.0
4000.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.5075757575757576	0.0	0.0	1.0174345959435227	0.0
4100.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.48484848484848486	0.0	0.0	1.0179619550624983	0.0
4200.0	-228.73856958478243	0.0	-228.73856958478243	0.0	0.4818181818181818	0.0	0.0	1.0133797747325273	0.0
